SKU,Price,ShippingCategory,Name,OptionTypes,variant_sku,variant_price
BU045A,$44.99,Default,Asian Antique Apple Holder Tray,"color:AQU,BLK,BUT,GRN,NAT,RED,YEL",BU045A AQU|BU045A BLK|BU045A BUT|BU045A GRN|BU045A NAT|BU045A RED|BU045A YEL,$44.99
BU045B,$44.99,Default,Asian Antique Apple Holder Tray,color:YEL,BU045B YEL|,$44.99
BU046A,$38.99,Default,French Style Wooden Fruit Basket,"color:AQU,BLK,BUT,GRN,NAT,RED,YEL",BU046A AQU|BU046A BLK|BU046A BUT|BU046A GRN|BU046A NAT|BU046A RED|BU046A YEL,$38.99
BU046B,$38.99,Default,European-style Wooden Fruit Bucket,"color:AQU,BLK,BUT,GRN,NAT,RED,YEL",BU046B AQU|BU046B BLK|BU046B BUT|BU046B GRN|BU046B NAT|BU046B RED|BU046B YEL,$38.99
BU048A,$112.99,Default,Vintage Barrow Shape Planter,color:NAT,BU048A NAT|,$112.99
BU048B,$221.99,Default,Wood Stained Barrow Wine Rack,color:NAT,BU048B NAT|,$221.99
BU049A,$40.99,Default,Dauphin Distressed Planter,"color:AQU,BLK,BUT,GRN,NAT,RED,YEL",BU049A AQU|BU049A BLK|BU049A BUT|BU049A GRN|BU049A NAT|BU049A RED|BU049A YEL,$40.99
BU049B,$54.99,Default,Three-section Wooden Brick Mold,color:NAT,BU049B NAT|,$54.99
BU049C,$47.99,Default,Antique Revival Two-section Wooden Brick Mold,color:NAT,BU049C NAT|,$47.99
BU051A,$41.99,Default,Vintage European-style Fruit Basket,"color:BLK,GRN,NAT,RED,WHT",BU051A BLK|BU051A GRN|BU051A NAT|BU051A RED|BU051A WHT,$41.99
BU051C,$38.99,Default,Cranston Wash Bucket,"color:GRN,NAT,RED,TQS",BU051C GRN|BU051C NAT|BU051C RED|BU051C TQS,$38.99
BU052A,$41.99,Default,Rustic Open Wood Caddy,"color:AQU,BLK,BUT,GRN,NAT,RED,YEL",BU052A AQU|BU052A BLK|BU052A BUT|BU052A GRN|BU052A NAT|BU052A RED|BU052A YEL,$41.99
BU057B,$42.99,Default,Decorative Wood Fortune Bowl,"color:AQU,BLK,BUT,GRN,NAT,RED,WHT,YEL",BU057B AQU|BU057B BLK|BU057B BUT|BU057B GRN|BU057B NAT|BU057B RED|BU057B WHT|BU057B YEL,$42.99
BU059A,$53.99,Default,Rectangular Wood Chicken Bucket Planter (2),color:DSN,BU059A DSN|,$53.99
BU060B,$35.99,Default,French Style Country Planter,"color:AQU,ORG,WHT",BU060B AQU|BU060B ORG|BU060B WHT,$35.99
BU062A,$32.99,Default,Flower Trough,color:AQU,BU062A AQU|,$32.99
BU063A,$90.99,Default,Beaudry Wine Rack,color:NAT,BU063A NAT|,$90.99
BU063B,$41.99,Default,Marion Bottle Holder Bucket,"color:BLU,BUT,NAT",BU063B BLU|BU063B BUT|BU063B NAT,$41.99
BU064A,$44.99,Default,Country-style Iron Handle Vegetable Bucket,"color:BLU,WHT,YEL",BU064A BLU|BU064A WHT|BU064A YEL,$44.99
BU064B,$45.99,Default,Tomato Bucket with Iron Handle,"color:BLU,ORG,WHT",BU064B BLU|BU064B ORG|BU064B WHT,$45.99
BU067A,$56.99,Default,Wooden Rice Bucket,"color:NAT,RED,TQS,WHT",BU067A NAT|BU067A RED|BU067A TQS|BU067A WHT,$56.99
BU067B,$42.99,Default,Vintage Chatwell Wooden Bucket,"color:NAT,RED,TQS,WHT",BU067B NAT|BU067B RED|BU067B TQS|BU067B WHT,$42.99
BU068A,$53.99,Default,Wooden Round Wash Bucket,"color:NAT,RED,TQS,WHT",BU068A NAT|BU068A RED|BU068A TQS|BU068A WHT,$53.99
BU068B,$56.99,Default,Wooden Vintage Kitchen Bucket,"color:GRN,NAT,RED,TQS,WHT",BU068B GRN|BU068B NAT|BU068B RED|BU068B TQS|BU068B WHT,$56.99
BU069A,$56.99,Default,Round Household Decorative Bucket,"color:NAT,RED,TQS,WHT",BU069A NAT|BU069A RED|BU069A TQS|BU069A WHT,$56.99
BU069B,$52.99,Default,Wooden Barrel Decorative Bucket,"color:NAT,RED,TQS,WHT",BU069B NAT|BU069B RED|BU069B TQS|BU069B WHT,$52.99
BU070A,$26.99,Default,Harper Distressed Planter,"color:BLU,RED,WHT",BU070A BLU|BU070A RED|BU070A WHT,$26.99
BU070B,$26.99,Default,Trenton Accent Planter,color:BLK,BU070B BLK|,$26.99
BU074B,$142.99,Default,Han Li Wooden Oval Bath Sink,"color:NAT,RED,TQS",BU074B NAT|BU074B RED|BU074B TQS,$142.99
BU077A,$55.99,Default,Bobby Shabby Chic Trough,color:WHT,BU077A WHT|,$55.99
BU078A,$26.99,Default,Chadwick Shabby Chic Serving Tray,color:WHT,BU078A WHT|,$26.99
