SKU,Price,ShippingCategory,Name,OptionTypes,variant_sku,variant_price
BPL008B,$38.99,Default,Geoffrey Tray,"color:AQU,ORG,RED,WHT",BPL008B AQU|BPL008B ORG|BPL008B RED|BPL008B WHT,$38.99
BPL009A,$38.99,Default,Lucas White 3-sectional Planter,color:WHT,BPL009A WHT|,$38.99
BPL010A,$48.99,Default,Chateauroux 4-bottle Wooden Wine Rack,color:NAT,BPL010A NAT|,$48.99
BPL010B,$52.99,Default,Chateauroux 10-bottle Wooden Wine Rack,color:NAT,BPL010B NAT|,$52.99
BPL011A,$25.99,Default,Bordeaux Natural Wood Wine Rack,color:NAT,BPL011A NAT|,$25.99
BPL011B,$37.99,Default,Bordeaux Wine Rack,color:NAT,BPL011B NAT|,$37.99
BU011A,$201.99,Default,Vintage Chinese Barrel with Iron Rings,color:NAT,BU011A NAT|,$201.99
BU011B,$196.99,Default,Vintage Iron-Studded Barrel,color:NAT;size:S,BU011B S NAT|,$196.99
BU013A,$52.99,Default,Tibetan Bowl,color:NAT,BU013A NAT|,$52.99
BU015A,$58.99,Default,Shandong Four-leg Basin Sink,"color:BLK,NAT,RED,TQS,WHT",BU015A BLK|BU015A NAT|BU015A RED|BU015A TQS|BU015A WHT,$58.99
BU015B,$79.99,Default,Vintage Round Four Legged Basin ,"color:BLK,NAT,RED,TQS",BU015B BLK|BU015B NAT|BU015B RED|BU015B TQS,$79.99
BU015C,$47.99,Default,Woodard Decor 4-legged Bucket,"color:GRN,NAT,RED,TQS,WHT",BU015C GRN|BU015C NAT|BU015C RED|BU015C TQS|BU015C WHT,$47.99
BU019B,$35.99,Default,Classic Style Wooden Flower Pot,"color:BLK,NAT,RED",BU019B BLK|BU019B NAT|BU019B RED,$35.99
BU019D,$30.99,Default,Wooden Hexagon Planter,"color:NAT,WHT",BU019D NAT|BU019D WHT,30.99|36.99
BU022A,$62.99,Default,Antiqued Stain Milk Crate,"color:AQU,BUT,RED,WHT",BU022A AQU|BU022A BUT|BU022A RED|BU022A WHT,$62.99
BU022B,$36.99,Default,Vintage European-style Milk Crate,"color:AQU,BLK,BUT,NAT,RED",BU022B AQU|BU022B BLK|BU022B BUT|BU022B NAT|BU022B RED,$36.99
BU028D,$39.99,Default,Stained Boat Tray with Handle,"color:AQU,NAT,RED",BU028D AQU|BU028D NAT|BU028D RED,$39.99
BU030A,$96.99,Default,Magazine Stand with Drawer,"color:BLK,NAT,RED",BU030A BLK|BU030A NAT|BU030A RED,$96.99
BU031B,$154.99,Default,Dynasty 9 Drawer Jewelry Cabinet,"color:NAT,RED",BU031B NAT|BU031B RED,$154.99
BU032A,$77.99,Default,Wooden Decorative Tray,"color:AQU,BUT,GRN,NAT,RED",BU032A AQU|BU032A BUT|BU032A GRN|BU032A NAT|BU032A RED,$77.99
